imdbId,directorName
tt0000417,Georges Méliès
tt0000439,Edwin S. Porter
tt0000516,Segundo de Chomón
tt0004972,D.W. Griffith
tt0006333,Stuart Paton
tt0006864,D.W. Griffith
tt0007264,Charles Chaplin
tt0007361,J. Searle Dawley
tt0008133,Charles Chaplin
tt0010040,Marshall Neilan
tt0010323,Robert Wiene
tt0011541,Buster Keaton|Edward F. Cline
tt0012349,Charles Chaplin
tt0013442,F.W. Murnau
tt0014142,Wallace Worsley
tt0014341,Buster Keaton|John G. Blystone
tt0014429,Fred C. Newmeyer|Sam Taylor
tt0014624,Charles Chaplin
tt0014646,Yakov Protazanov
tt0015163,Donald Crisp|Buster Keaton
tt0015324,Buster Keaton
tt0015400,Raoul Walsh
tt0015648,Sergei M. Eisenstein
tt0015841,Fred C. Newmeyer|Sam Taylor
tt0015864,Charles Chaplin
tt0015881,Erich von Stroheim
tt0016641,Fred Niblo|Charles Brabin|Christy Cabanne|J.J. Cohn|Rex Ingram
tt0016847,F.W. Murnau
tt0016914,Georg Wilhelm Pabst
tt0017075,Alfred Hitchcock
tt0017136,Fritz Lang
tt0017271,Lev Kuleshov
tt0017416,George Fitzmaurice
tt0017739,Paul Leni
tt0017765,James W. Horne|Buster Keaton
tt0017925,Clyde Bruckman|Buster Keaton
tt0018037,Alan Crosland
tt0018328,Alfred Hitchcock
tt0018455,F.W. Murnau
tt0018773,Charles Chaplin
tt0019254,Carl Theodor Dreyer
tt0019421,Charles Reisner|Buster Keaton
tt0019422,Walt Disney|Ub Iwerks
tt0019729,Harry Beaumont
tt0019760,Dziga Vertov
tt0019777,Robert Florey|Joseph Santley
tt0020530,Luis Buñuel
tt0020629,Lewis Milestone
tt0020640,Victor Heerman
tt0020641,Clarence Brown
tt0020697,Josef von Sternberg
tt0020827,Robert Z. Leonard
tt0021079,Mervyn LeRoy
tt0021746,Wesley Ruggles
tt0021749,Charles Chaplin
tt0021814,Karl Freund|Tod Browning
tt0021884,James Whale
tt0021890,Lewis Milestone
tt0021910,George Cukor
tt0022002,Tod Browning
tt0022100,Fritz Lang
tt0022111,Roy Del Ruth
tt0022183,Carl Froelich|Leontine Sagan
tt0022286,William A. Wellman
tt0022599,René Clair
tt0022718,Jean Renoir
tt0022835,Rouben Mamoulian
tt0022879,Frank Borzage
tt0022913,Tod Browning
tt0022958,Edmund Goulding
tt0023027,Norman Z. McLeod
tt0023042,Mervyn LeRoy
tt0023245,Karl Freund
tt0023427,Richard Rosson|Howard Hawks
tt0023563,Fritz Lang
tt0023622,Ernst Lubitsch
tt0023753,Rudolf Ising|Hugh Harman|Norman Z. McLeod
tt0023948,George Cukor
tt0023969,Leo McCarey
tt0024025,Thornton Freeland
tt0024034,Lloyd Bacon
tt0024069,Mervyn LeRoy
tt0024184,James Whale
tt0024216,Merian C. Cooper|Ernest B. Schoedsack
tt0024264,George Cukor
tt0024601,William A. Seiter
tt0024803,Jean Vigo
tt0024844,Jean Vigo
tt0024852,Charley Rogers|Gus Meins
tt0024966,Sergey Vasilev|Georgi Vasilyev
tt0025164,Mark Sandrich
tt0025316,Frank Capra
tt0025452,Alfred Hitchcock
tt0025456,Robert J. Flaherty
tt0025586,John Cromwell
tt0025878,W.S. Van Dyke
tt0025913,Leni Riefenstahl
tt0025919,Howard Hawks
tt0026029,Alfred Hitchcock
tt0026056,George Stevens
tt0026071,Clarence Brown
tt0026138,James Whale
tt0026174,Michael Curtiz
tt0026421,Busby Berkeley
tt0026676,Clyde Bruckman|W.C. Fields
tt0026714,William Dieterle|Max Reinhardt
tt0026752,Frank Lloyd
tt0026778,Edmund Goulding|Sam Wood
tt0026942,William A. Seiter
tt0027075,Robert Z. Leonard|Jack Conway
tt0027125,Mark Sandrich
tt0027260,W.S. Van Dyke
tt0027300,Mervyn LeRoy|Michael Curtiz
tt0027630,Mark Sandrich
tt0027652,Fritz Lang
tt0027664,Lewis Milestone
tt0027698,Robert Z. Leonard
tt0027884,Jack Conway
tt0027893,John Cromwell
tt0027948,John Ford|Leslie Goodwins
tt0027977,Charles Chaplin
tt0027996,Frank Capra
tt0028010,Gregory La Cava
tt0028212,Alfred Hitchcock
tt0028216,W.S. Van Dyke
tt0028231,Alfred Hitchcock
tt0028333,George Stevens
tt0028346,Louis J. Gasnier
tt0028510,Mack V. Wright
tt0028597,Leo McCarey
tt0028683,George Cukor
tt0028691,Victor Fleming
tt0028772,Sam Wood
tt0028944,Sidney Franklin|Sam Wood|Victor Fleming|Gustav Machatý
tt0028950,Jean Renoir
tt0028988,Allan Dwan
tt0029081,Robert Stevenson|Geoffrey Barkas
tt0029146,William Dieterle
tt0029162,Frank Capra
tt0029192,Leo McCarey
tt0029284,Garson Kanin
tt0029453,Julien Duvivier
tt0029546,Mark Sandrich
tt0029583,Wilfred Jackson|Perce Pearce|William Cottrell|Ben Sharpsteen|Larry Morey|David Hand
tt0029604,Gregory La Cava
tt0029606,William A. Wellman|Jack Conway|Victor Fleming
tt0029808,Fritz Lang
tt0029843,Michael Curtiz|William Keighley
tt0029850,Dmitriy Vasilev|Sergei M. Eisenstein
tt0029870,Michael Curtiz
tt0029942,Norman Taurog
tt0029947,Howard Hawks
tt0029992,Edwin L. Marin
tt0030241,George Cukor
tt0030287,William Wyler
tt0030341,Alfred Hitchcock
tt0030604,Robert Clampett
tt0030608,Ben Hardaway|Cal Dalton
tt0030637,Anthony Asquith|Leslie Howard
tt0030947,Grigoriy Aleksandrov
tt0030993,Frank Capra
tt0031047,W.S. Van Dyke
tt0031060,Edward Buzzell
tt0031210,Edmund Goulding
tt0031225,George Marshall
tt0031381,Sam Wood|George Cukor|Victor Fleming
tt0031385,Sam Wood|Sidney Franklin
tt0031397,Roland Crandall|Frank Kelling|Seymour Kneitel|William Henning|Robert G. Leffingwell|Dave Fleischer|Thomas Johnson|Winfield Hoskins|Orestes Calpini|Willard Bowsky|Grim Natwick|Tom Palmer
tt0031398,George Stevens
tt0031405,Cal Dalton|Ben Hardaway
tt0031455,William Dieterle
tt0031505,Alfred Hitchcock
tt0031580,Walter Lang|William A. Seiter
tt0031593,Leo McCarey
tt0031679,Frank Capra
tt0031725,Ernst Lubitsch
tt0031742,Lewis Milestone
tt0031762,Howard Hawks
tt0031867,Raoul Walsh
tt0031885,Jean Renoir
tt0031971,John Ford
tt0032138,George Cukor|Norman Taurog|Victor Fleming|King Vidor|Richard Thorpe|Mervyn LeRoy
tt0032143,George Cukor
